,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
1,810,797,1,1,714,1,714,772,714,809,74,1,307,560,283,0,369,330,28,149,83,17,17,17,17,17,17,38,383,70,17,283,67,67,42,419,17,425,13,157
2,797,1671,874,874,1472,874,1472,1634,1230,1671,299,198,302,554,1155,774,364,997,117,147,190,117,117,117,117,117,117,403,378,348,242,1155,840,840,176,1209,83,1216,126,297
3,1,874,875,875,770,875,770,874,528,874,225,199,0,0,874,774,0,674,91,0,108,100,100,100,100,100,100,367,0,279,225,874,773,773,134,796,66,797,113,142
4,1,874,875,875,770,875,770,874,528,874,225,199,0,0,874,774,0,674,91,0,108,100,100,100,100,100,100,367,0,279,225,874,773,773,134,796,66,797,113,142
5,714,1472,770,770,1524,770,1524,1454,1274,1524,304,191,305,503,1085,720,337,929,120,151,197,121,121,121,121,121,121,381,358,355,237,1085,788,788,183,1124,85,1132,128,297
6,1,874,875,875,770,875,770,874,528,874,225,199,0,0,874,774,0,674,91,0,108,100,100,100,100,100,100,367,0,279,225,874,773,773,134,796,66,797,113,142
7,714,1472,770,770,1524,770,1524,1454,1274,1524,304,191,305,503,1085,720,337,929,120,151,197,121,121,121,121,121,121,381,358,355,237,1085,788,788,183,1124,85,1132,128,297
8,772,1634,874,874,1454,874,1454,1646,1212,1646,299,198,297,535,1149,774,354,988,117,143,191,117,117,117,117,117,117,403,366,344,242,1149,840,840,176,1197,83,1204,126,296
9,714,1230,528,528,1274,528,1274,1212,1274,1274,268,147,305,503,836,498,337,730,108,151,196,88,88,88,88,88,88,288,358,266,182,836,565,565,151,899,70,907,98,279
10,809,1671,874,874,1524,874,1524,1646,1274,2556,305,199,311,566,1191,804,372,1035,120,152,198,121,121,121,121,121,121,422,386,810,250,1191,872,872,184,1249,188,1257,404,300
